Country,Price,Size,Marketplace,Reference,Moy_prix_by_size,Address
Ariana,980.0,220.0,Tunisie-annonce TN,2861734,4.454545454545454,"Tunisie,Ariana,Mnihla,Mnihla"
Banlieue Nord,1800.0,110.0,Tunisie-annonce TN,2807414,16.363636363636363,"Tunisie,Tunis,La Marsa,Marsa Ennassim"
Banlieue Nord,1400.0,100.0,Tunisie-annonce TN,2344636,14.0,"Tunisie,Tunis,La Marsa,Cite Essalama"
Banlieue Nord,1400.0,100.0,Tunisie-annonce TN,2563083,14.0,"Tunisie,Tunis,La Marsa,Cite Erriadh"
Banlieue Nord,500.0,50.0,Tunisie-annonce TN,2846313,10.0,"Tunisie,Tunis,Carthage,Salambo"
Banlieue Nord,2000.0,1715.0,Tunisie-annonce TN,2815285,1.1661807580174928,"Tunisie,Tunis,Ain Zaghouan,Jardins de Carthage"
Ariana,1200.0,130.0,Tunisie-annonce TN,2740153,9.23076923076923,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Tunis,900.0,140.0,Tunisie-annonce TN,2861750,6.428571428571429,"Tunisie,Tunis,Bab Bhar,Bab Bhar"
Mannouba,580.0,55.0,Tunisie-annonce TN,2861673,10.545454545454545,"Tunisie,Manouba,Mannouba,La Mannouba"
Sousse,500.0,65.0,Tayara TN,889b1f78-cc26-455e-b816-d2ca022358e4,7.6923076923076925,"Sousse, Sahloul"
Banlieue Nord,1500.0,100.0,Tunisie-annonce TN,2804800,15.0,"Tunisie,Tunis,La Marsa,Marsa Erriadh"
Sousse,450.0,150.0,Tayara TN,ec35842e-97db-4966-bbec-42e56a85a871,3.0,"Sousse, Kantaoui"
Banlieue Nord,1200.0,90.0,Tunisie-annonce TN,2439129,13.333333333333334,"Tunisie,Tunis,La Marsa,Cite Du Stade"
Banlieue Nord,870.0,100.0,Tunisie-annonce TN,2669025,8.7,"Tunisie,Tunis,La Marsa,Marsa Ennassim"
Ben arous,500.0,60.0,Tunisie-annonce TN,2806484,8.333333333333334,"Tunisie,Ben arous,Hammam Lif,Hammam Lif"
Cite el khadra,630.0,75.0,Tunisie-annonce TN,2831414,8.4,"Tunisie,Tunis,Cite El Khadra,Cite El Khadra"
Beja,500.0,65.0,Tunisie-annonce TN,2831715,7.6923076923076925,"Tunisie,Beja,Beja Nord,Beja"
Banlieue Nord,1000.0,175.0,Tunisie-annonce TN,2861747,5.714285714285714,"Tunisie,Tunis,La Marsa,Gammart"
Beja,620.0,65.0,Tunisie-annonce TN,2831483,9.538461538461538,"Tunisie,Beja,Beja Nord,Beja"
Monastir,320.0,60.0,Tayara TN,5fb8f428-17e9-48bb-a8b1-af4654ceee99,5.333333333333333,"Monastir, Monastir"
Ben arous,450.0,17.0,Tunisie-annonce TN,2693075,26.470588235294116,"Tunisie,Ben arous,Hammam Lif,Hammam Lif"
