,Unnamed: 0,Extraction_date,Reference,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
10,10,2018-07-16T14:06:27,L-TN-00149547,Appartement,S+3 À Menzah 7,"El Menzah 7, El Menzah 7, El Menzah, Ariana",157,m²,3.0,2.0,210000.0,"Cet appartement est situé au rez-de-chaussée d'une résidence , L'entrée donne sur un hall qui dessert à gauche La pièce principale. Cette dernière est composée d?un salon lumineux grâce à son ouverture sur un balcon et d?un coin séjour. La cuisine agencée. Elle se complète par un séchoir exploitable avec une cuisine externe avec terrasse . Une salle d'eau est à disposition. La partie nuit est équipée par des dressing dans toutes les pièces pour plus de rangements. Elle loge trois chambres à coucher qui partagent une salle de bain. Une places de parking est disponibles .",https://house.jumia.com.tn/s3-a-menzah-7-149547-29.html?page=17&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
11,11,2018-07-16T14:06:22,L-TN-00105103,Appartement,Appartements 236M2 À Ariana La Soukra,"Ariana, Ariana, Ariana",236,m²,4.0,3.0,543904.0,"A Vendre un appartement situé au troisième étage d?une résidence gardée et sécurisée.  L?entrée donne sur un salon revêtus de marbre blanc et bénéficiant d?une luminosité naturelle grâce à de larges baies vitrées. La cuisine est agencée d'éléments de rangement fonctionnels.  Elle est également équipée d'une plaque chauffante, d'un four électrique encastré et d'une hotte aspirante. Elle est complétée par un séchoir. Une salle d'eau pour les invités a également été pensée.  Un hall dessert la partie nuit qui est composée de trois chambres à coucher et d'une salle de bain commune, une suite parentale avec sa propre salle de bain.",https://house.jumia.com.tn/appartements-236m2-a-ariana-la-soukra-105103-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
12,12,2018-07-16T14:06:15,L-TN-00155703,Appartement,Un Appartement S+3 À Vendre,"Jaafer 2, Raoued, Raoued, Ariana",150,m²,3.0,1.0,160000.0,Casa imed vous propose un    appartement  à Ariana ?jaafer  en 2 éme position sur la rue  principale  situé en 2 éme étage   Ils   se  composent  de : S+3 +cuisine équipé + salle d?eau +salle de bain +2balcon +séchoir +jardin +place parking  *faux plafond /2 dressing /climatiseur /caméra de surveillance /marbre 1 ère choix. Superficie : 150m² prix : 160000 mille (NEGOCIABLE) TITRE BLEU  Référence : AAR001 Pour plus d?information n?hésitez pas à contactez votre conseillère en immobilier Nous sommes à votre service (même samedi & dimanche ) Visite du bien disponible (fixer un RDV) Satisfaction garantie,https://house.jumia.com.tn/un-appartement-s3-a-vendre-155703-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
13,13,2018-07-16T14:06:10,L-TN-00150930,Appartement,Un Appartement S+2 De 106M² À Boumhal,"Boumhel, Bou Mhel, Ben Arous - Tunis Sud",106,m²,2.0,1.0,188000.0,Cet appartement est situé dans une résidence gardée et proche de toutes commodités. L'entrée dessert un salon éclairé grâce à un balcon . La cuisine est aménagée par des espaces de rangement et bien équipée . La partie nuit abrite deux chambres à coucher ainsi qu'une salle de bain et une salle d'eau. une place de parking est disponible sous sol,https://house.jumia.com.tn/un-appartement-s2-de-106m-a-boumhal-150930-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
14,14,2018-07-16T14:06:07,L-TN-00107452,Appartement,Duplex B02,"Cité El Wafa lotisement AFH en face de HA  Hammadi Adib, Hammamet Nord, Hammamet, Nabeul",142,m²,2.0,2.0,345000.0,"Le Duplex  comprend un grand salon avec cuisine à l?américaine équipé plaque haute et four, sde avec toilette et vasque séparé,un escalier en metal et bois qui sert au 1 re etage avec  deux chambres, Sdb, avec toilette et vasque séparé, climatisation LG  système multi-split inventer ; chauffage central, des dressings aménagés et un terrasse avec petit jardin ( très haut standing)  avec Terrasse jardin de 38 m2",https://house.jumia.com.tn/duplex-b02-107452-28.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
15,15,2018-07-16T14:05:59,L-TN-00115412,Appartement,A Louer Appartement De Haut Standing Sans Meuble À Hkezama Est,"khezama est, Khezama, Khezama, Sousse",160,m²,2.0,2.0,950.0,"L'agence immobilière elkantaoui met en location annuelle un appartement de standing sans meuble à khezama  est dans une zone résidentielle calme et prés de tous les commodités et les centres commerciaux sis au 4 eme étage d'une résidence avec ascenseur gardée 24/24, l'appartement est d'une superficie 160 m² composé d'un grand salon , 2 chambres à coucher y compris un suite parentale avec dressing ,cuisine équipée, salle de bain et un terrasse bien ensoleillé  qui donne vue sur mer, chauffage central et climatisation et 1 place parking sous sol pour plus de détails merci de nous contacter agence immobilière elkantaoui.",https://house.jumia.com.tn/a-louer-appartement-de-haut-standing-sans-meuble-a-hkezama-est-115412-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
16,16,2018-07-16T14:05:55,L-TN-00120321,Appartement,Studio Hwanet,"Hammamet, Hammamet, Tunis et Banlieue Nord",,m²,1.0,1.0,89000.0,"Studio à vendre à Hammamet centre, zone Hwanet,S+1 très spacieux de 100m de surface, possibilité de construire un autre étage, Prix 89.000dt.",https://house.jumia.com.tn/studio-hwanet-120321-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
17,17,2018-07-16T14:05:53,L-TN-00152007,Appartement,Penthouse De 349M² À Ain Zaghouan,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",1,m²,1.0,,650000.0,apartment a Buy,https://house.jumia.com.tn/penthouse-de-349m-a-ain-zaghouan-152007-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
18,18,2018-07-16T14:05:44,L-TN-00148251,Appartement,S+3 De 165 M² À Marsa Carrefour,"Ain Zaghouan, AIN Zaghouan, Tunis et Banlieue Nord",165,m²,3.0,1.0,410000.0,"Cet appartement se situe au deuxième étage d'une résidence avec ascenseur, à proximité d'un centre commercial. Le salon, revêtu en marbre blanc, possède une ouverture sur un balcon de 8 m², et bénéficie d'une vue dégagée. La cuisine, équipée d'un four, hotte et plaques, et peut accueillir une table pour 4 personnes. Un séchoir complète la cuisine. Une salle d'eau avec cabine de douche est à disposition dans la partie jour. La partie nuit abrite trois chambres à coucher munie chacune de dressing. Une salle de bain est disponible. Pour plus de commodités, une place de parking ainsi qu'un cellier lui sont réservés au sous-sol.",https://house.jumia.com.tn/s3-de-165-m-a-marsa-carrefour-148251-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
19,19,2018-07-16T14:05:38,L-TN-00153142,Appartement,***Bel Appartement***,"Chotrana, Ariana, Ariana, Ariana",123,m²,2.0,1.0,214550.0,"###Nouveaux projet chez CASA IMED : Appartement  (S+2) dans une résidence nouvellement construite à CHOTRANA 1 dans une résidence calme et sécurisée. L?appartement se compose d'un salon spacieux lumineux avec un balcon avec une vue dégagée, une kitchenette équipée avec des éléments de rangement, une salle d'eau avec douche et 2 chambres à coucher avec dressing. L?appartement est équipé d'un chauffage central et des climatiseurs. ?Superficie:  123 m² ?Prix: 214.550 dt  Pour plus d'informations n'hésiter pas de contacter notre conseiller immobilier : Nous sommes ouvert même le weekend  (SAMEDI ET DIMANCHE)###",https://house.jumia.com.tn/bel-appartement-153142-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
