Country,Price,Size,Status,Marketplace,Reference,Moy_prix_by_size,Address
Ariana,180000.0,68.0,V,Jumia TN,L-TN-00157378,2647.0588235294117,"Cité Ennasr, Cité Ennasr, Ariana"
Nabeul,650000.0,157.0,V,Jumia TN,L-TN-00163387,4140.127388535032,"Hammamet Centre, Hammamet, Nabeul"
Ben arous,252000.0,180.0,V,Jumia TN,L-TN-00123031,1400.0,"El Mourouj, El Mourouj, Ben Arous - Tunis Sud"
Nabeul,170000.0,180.0,V,Jumia TN,L-TN-00135725,944.4444444444445,"el maamoura plage, El Maamoura, Al maamoura, Nabeul"
Les Berges du Lac,350000.0,140.0,V,Jumia TN,L-TN-00131866,2500.0,"Les Berges Du Lac 1, Les Berges Du Lac, Tunis et Banlieue Nord"
Sousse,800000.0,150.0,V,Jumia TN,L-TN-00140822,5333.333333333333,"Chatt Meriem, Chott Meriem, Akouda, Sousse"
Ariana,210000.0,157.0,V,Jumia TN,L-TN-00149547,1337.5796178343949,"El Menzah 7, El Menzah 7, El Menzah, Ariana"
Ariana,543904.0,236.0,V,Jumia TN,L-TN-00105103,2304.677966101695,"Ariana, Ariana, Ariana"
Ariana,160000.0,150.0,V,Jumia TN,L-TN-00155703,1066.6666666666667,"Jaafer 2, Raoued, Raoued, Ariana"
Ben arous,188000.0,106.0,V,Jumia TN,L-TN-00150930,1773.5849056603774,"Boumhel, Bou Mhel, Ben Arous - Tunis Sud"
Nabeul,345000.0,142.0,V,Jumia TN,L-TN-00107452,2429.5774647887324,"Cité El Wafa lotisement AFH en face de HA  Hammadi Adib, Hammamet Nord, Hammamet, Nabeul"
Sousse,950.0,160.0,V,Jumia TN,L-TN-00115412,5.9375,"khezama est, Khezama, Khezama, Sousse"
Banlieue Nord,410000.0,165.0,V,Jumia TN,L-TN-00148251,2484.848484848485,"Ain Zaghouan, AIN Zaghouan, Tunis et Banlieue Nord"
Ariana,214550.0,123.0,V,Jumia TN,L-TN-00153142,1744.3089430894308,"Chotrana, Ariana, Ariana, Ariana"
Ariana,175000.0,75.0,V,Jumia TN,L-TN-00149075,2333.3333333333335,"La Soukra, La Soukra, Soukra, Ariana"
Ariana,165.0,100.0,L,Tunisie-annonce TN,2831585,1.65,"Tunisie,Ariana,Ariana Ville,El Menzah 6"
Ariana,950.0,140.0,L,Tunisie-annonce TN,2815556,6.785714285714286,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Ben arous,160000.0,129.0,V,Jumia TN,L-TN-00125951,1240.3100775193798,"Résidence La Colombe 3 Mourouj 5, El Mourouj, Ben Arous - Tunis Sud"
Tunis,140.0,80.0,L,Tunisie-annonce TN,2777893,1.75,"Tunisie,Tunis,El Omrane Superieur,El Omrane Superieur"
Ariana,500.0,110.0,L,Tunisie-annonce TN,2831583,4.545454545454546,"Tunisie,Ariana,La Soukra,Chotrana 3"
Sousse,270000.0,63.0,V,Jumia TN,L-TN-00153593,4285.714285714285,"El Kantaoui, Hammam Sousse, Sousse"
Ariana,10000.0,700.0,L,Tunisie-annonce TN,2791959,14.285714285714286,"Tunisie,Ariana,Mnihla,Jardins d'el Menzah"
Ben arous,145000.0,100.0,V,Jumia TN,L-TN-00163485,1450.0,"Hammam Lif, Hammam Lif, Ben Arous - Tunis Sud"
Sfax,1500.0,4600.0,L,Tunisie-annonce TN,2782757,0.32608695652173914,"Tunisie,Sfax,Sfax Sud,El Khazzanette"
Ariana,380.0,50.0,L,Tunisie-annonce TN,2820177,7.6,"Tunisie,Ariana,La Soukra,La Soukra"
Bizerte,650.0,100.0,L,Tunisie-annonce TN,2791201,6.5,"Tunisie,Bizerte,Bizerte Nord,Bizerte"
Bizerte,700.0,50.0,L,Tunisie-annonce TN,2825412,14.0,"Tunisie,Bizerte,Bizerte Nord,Bizerte"
Ben arous,80000.0,80.0,V,Jumia TN,L-TN-00127076,1000.0,"Hammam Lif, Hammam Lif, Ben Arous - Tunis Sud"
Banlieue Nord,235000.0,135.0,V,Jumia TN,L-TN-00137940,1740.7407407407406,"Aouina, Tunis et Banlieue Nord"
Les Berges du Lac,450000.0,152.0,V,Jumia TN,L-TN-00123222,2960.5263157894738,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Bardo,660.0,125.0,L,Tunisie-annonce TN,2828154,5.28,"Tunisie,Tunis,Le Bardo,Khaznadar"
Ariana,258000.0,99.0,V,Jumia TN,L-TN-00127517,2606.060606060606,"Résidence Les Oeillets, Cité Ennasr, Cité Ennasr, Cité Ennasr, Ariana"
Ben arous,450.0,150.0,L,Tunisie-annonce TN,2823277,3.0,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel"
Mannouba,600.0,350.0,L,Tunisie-annonce TN,2831524,1.7142857142857142,"Tunisie,Manouba,Mannouba,La Mannouba"
Les Berges du Lac,1500000.0,280.0,V,Jumia TN,L-TN-00132571,5357.142857142857,"lac 1, Les Berges Du Lac 1, Les Berges Du Lac, Tunis et Banlieue Nord"
