Country,Price,Size,Marketplace,Reference,Moy_prix_by_size,Address
Sousse,550.0,110.0,Tunisie-annonce TN,2832024,5.0,"Tunisie,Sousse,Hammam Sousse,El Kantaoui"
Banlieue Nord,1600.0,180.0,Tunisie-annonce TN,2721971,8.88888888888889,"Tunisie,Tunis,La Marsa,El Aouina"
Banlieue Nord,700.0,65.0,Tunisie-annonce TN,2818688,10.76923076923077,"Tunisie,Tunis,La Goulette,Casino La Goulette"
Sousse,1200.0,50.0,Tunisie-annonce TN,2804460,24.0,"Tunisie,Sousse,Akouda,Chatt Meriem"
Nabeul,200.0,40.0,Tunisie-annonce TN,2505421,5.0,"Tunisie,Nabeul,Kelibia,Kelibia"
Ben arous,500.0,150.0,Tunisie-annonce TN,2829565,3.3333333333333335,"Tunisie,Ben arous,El Mourouj,El Mourouj"
Sousse,600.0,40.0,Tunisie-annonce TN,383477,15.0,"Tunisie,Sousse,Akouda,Chatt Meriem"
Sfax,430.0,140.0,Tunisie-annonce TN,2828986,3.0714285714285716,"Tunisie,Sfax,Sakiet Ezzit,Merkez Bouacida"
Banlieue Nord,1000.0,120.0,Tunisie-annonce TN,2830956,8.333333333333334,"Tunisie,Tunis,La Marsa,Marsa Erriadh"
Ariana,1500.0,450.0,Tunisie-annonce TN,2832039,3.3333333333333335,"Tunisie,Tunis,El Menzah,Mutuelle Ville"
Bizerte,350.0,50.0,Tunisie-annonce TN,2827466,7.0,"Tunisie,Bizerte,Bizerte Nord,Bizerte"
Banlieue Nord,2200.0,160.0,Tunisie-annonce TN,2804991,13.75,"Tunisie,Tunis,La Marsa,Berge Du Lac"
Ariana,8900.0,2700.0,Tunisie-annonce TN,2802568,3.2962962962962963,"Tunisie,Ariana,La Soukra,La Soukra"
Sousse,650.0,180.0,Tunisie-annonce TN,2768212,3.611111111111111,"Tunisie,Sousse,Hammam Sousse,Cite De La Plage 1"
Ben arous,1100.0,150.0,Tunisie-annonce TN,2780761,7.333333333333333,"Tunisie,Ben arous,Bou Mhel El Bassatine,Cite Plein Air"
Tunis,2700.0,238.0,Tunisie-annonce TN,2819204,11.344537815126051,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan"
Tunis,700.0,40.0,Tunisie-annonce TN,2827495,17.5,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan"
Banlieue Nord,2000.0,133.0,Tunisie-annonce TN,2780873,15.037593984962406,"Tunisie,Tunis,La Marsa,Berge Du Lac"
