Extraction_date,Marketplace,Reference,Status,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
2018-09-03T14:46:49,Tayara TN,cbf7345e-bfec-496f-bdc3-55d9a4e474e6,À Louer,Appartements,App S+2 À Boumhal,"Ben arous, Boumhel",Appartements,m²,3.0,,400.0,"a louer un spacieux app situer au 1er étage d'une petite résidence situer ds une cité calme et résidentiel , s+2 propre sdb, cuisine agencée. 400d/mois ? : 50 560 130",https://www.tayara.tn/listings/appartements-2/cbf7345e-bfec-496f-bdc3-55d9a4e474e6/app-s+2-à-boumhal
2018-09-03T14:46:43,Tayara TN,d104760d-adac-4405-ad0a-af0049aa3f70,À Louer,Appartements,Location Estivale,"Nabeul, Hammamet",Appartements,m²,1.0,,250.0,? Location estivale ? ? Un appartement S+1 à Corniche Hammamet Pour plus d'informations veuillez nous contacter sur : ? 72267108 ? 93345681 ? 93389077,https://www.tayara.tn/listings/appartements-2/d104760d-adac-4405-ad0a-af0049aa3f70/location-estivale-
2018-09-03T14:46:42,Tayara TN,d5875fd0-e722-4455-a105-a4b123f9ef0f,À Louer,Appartements,Appart Propre Souk Belkhir Beb Souika 52577598,"Tunis, Médina",Appartements,m²,2.0,,400.0,l'agence anas immobiliervous propose a louer a souk belkhir beb souika un appartement tres propre compose de salon chambre kitchinette toilette et douche prix 400d tel 52577598,https://www.tayara.tn/listings/appartements-2/d5875fd0-e722-4455-a105-a4b123f9ef0f/appart-propre-souk-belkhir-beb-souika-52577598
2018-09-03T14:46:40,Tayara TN,cdd2355d-a438-4908-8c9a-eed9f7026338,À Louer,Appartements,Apartement A Louer Ez Zahrra 54308990,"Ben arous, Autres villes",Appartements,m²,4.0,,500.0,s+4 cuisine s de bain terrasse garage de voiture rez de chaussee prix 500,https://www.tayara.tn/listings/appartements-2/cdd2355d-a438-4908-8c9a-eed9f7026338/apartement-a-louer-ez-zahrra-54308990
2018-09-03T14:46:36,Tayara TN,d402b1f4-2a2b-46de-a6cb-94e49a39775d,À Louer,Appartements,Un Superbe S+2 À L'Aouina,"Tunis, L'aouina",Appartements,m²,2.0,,740.0,"La maison est équipé de : -Placards au couloir -Chauffage centrale et chauffe eau Elle se compose de : -Deux chambres a coucher -Une salle de bain -Une grande cuisine avec séchoir -Un salon avec un balcon Cet appartement est a 740 dt par mois avec un mois de cautionnement a l'avance La maison est au deuxième étage dans une résidence très calme, bien sécurisé équipé de deux ascenseur et prés de toute sorte de commodité (Carrefour Express, Monoprix, salon de thé ...) pour plus d'information veillez contacter notre agent au 54 089 085 et merci",https://www.tayara.tn/listings/appartements-2/d402b1f4-2a2b-46de-a6cb-94e49a39775d/un-superbe-s+2-à-l'aouina-
2018-09-03T14:46:36,Tayara TN,d2e4ff3e-c9fa-4910-b7a2-43b65456f219,À Louer,Appartements,Appartement Azza L1913 Mme Sirine (52080909),"Nabeul, Hammamet",Appartements,m²,1.0,,1250.0,"APPARTEMENT AZZA L1913 A louer pour toute l'année chez l'agence TPS Immobiliere Hammamet, un coquet appartement situé au centre-ville d'Hammamet, dans une résidence neuve avec ascenceur. L'appartement se trouve au 4ème étage et possède une splendide vue sur la mer. Il comporte un salon qui donne sur une merveilleuse terrasse de 25m², une chambre à coucher, une salle d'eau et une kitchenette bien équipée. L'appartement est équipé de climatisation reversible et un ascenceur privé. NB: A rajouter 50 DT comme frais de syndique. Nos agents sont à votre disposition pour toutes informations et conseils nécessaires afin de disposer du bien. Veuillez contacter Mme SIRINE (52080909)",https://www.tayara.tn/listings/appartements-2/d2e4ff3e-c9fa-4910-b7a2-43b65456f219/appartement-azza-l1913-mme-sirine-(52080909)
2018-09-03T14:46:35,Tayara TN,cbf32600-a5d7-439f-ab83-c10c06e41510,À Louer,Appartements,S+2 À Borj Erras À Louer.,"Mahdia, Autres villes",Appartements,m²,2.0,,1.0,A louer s+2 semi-meublé à borj erras pour max 4 étudiants. prix intéressant à discuter suivant la demande d'ameublement.,https://www.tayara.tn/listings/appartements-2/cbf32600-a5d7-439f-ab83-c10c06e41510/s+2-à-borj-erras-à-louer-
2018-09-03T14:46:35,Tayara TN,ca4d0199-9bf9-4161-9a3f-e9ef9b57c69e,À Louer,Appartements,Studio A Loue,"Médenine, Autres villes",Appartements,m²,2.0,,200.0,studio 2 chambre avec cuisinne dans un cartie tres calme a rue benikadech a cote montazah 4 saison,https://www.tayara.tn/listings/appartements-2/ca4d0199-9bf9-4161-9a3f-e9ef9b57c69e/studio-a-loue
2018-09-03T14:46:35,Tayara TN,d57acf4e-e1b0-4843-9ced-75a6bc57736b,À Louer,Appartements,Appartement À Louer,"Ben arous, Medina Jedida",Appartements,m²,3.0,,450.0,Appartement S+2 a la nouvelle medina ( ??????? ??????? ) En face de la mosquée Prix 450dt Négociable Contact 56770303,https://www.tayara.tn/listings/appartements-2/d57acf4e-e1b0-4843-9ced-75a6bc57736b/appartement-à-louer-
2018-09-03T14:46:34,Tayara TN,cdd0d6e5-5b74-4b76-b5e1-d26527c1fefd,À Louer,Appartements,Studios À Louer,"Ben arous, Autres villes",Appartements,m²,2.0,,320.0,"Encore disponibles à megrine riadh ce qui suit : -2 studios: une chambre+une kitchenette+coin de repas+wc;douche;. Superficie totale 25m2. Prix: 320 et 380 d le studio -1 appartement: S+1+cuisine+wc;douche; Superficie totale d'un 45m2. prix 450d. Nouvellement bâtis. Situé aux 2ème et 3ème niveau d'une immeuble ""R+3"".",https://www.tayara.tn/listings/appartements-2/cdd0d6e5-5b74-4b76-b5e1-d26527c1fefd/studios-à-louer
2018-09-03T14:46:30,Tayara TN,d2e48506-1f6c-4425-8bd3-4ee10de25cb9,À Louer,Appartements,Appartement S1 Meublé Et Luxueux Au Lac2,"Tunis, L'aouina",Appartements,m²,1.0,,140.0,"Location d'appartements S1 très Haut standing richement meublé dans une nouvelle résidence bien gardée aux berges du Lac 2 à côté de Tunisia Mall et à côté de l'ambassade de Canada et à 50 m du clinique Hannibal. Composé d’un salon, une chambre à coucher, une salle de bain et une cuisine séparée et équipée d’un four électrique, une hotte aspirante, une plaque chauffante, et des éléments de rangements. Les appartements sont équipés d'internet, d'une climatisation en split système et chauffage centrale. La place de parking est réservée au sous-sol avec accès sécurisé. Prix à partir de 140d/nuit Prix exceptionnel pour les longues durées. Merci de me contacter au 95856407",https://www.tayara.tn/listings/appartements-2/d2e48506-1f6c-4425-8bd3-4ee10de25cb9/appartement-s1-meublé-et-luxueux-au-lac2
2018-09-03T14:46:28,Tayara TN,ca1c459f-3335-4d91-a9f4-57de7c63d080,À Louer,Appartements,Appart Htsg S4 Bardo Centre Près Monoprix Habitation Bureautique Cabinet Médical,"Tunis, Le Bardo",Appartements,m²,5.0,,1000.0,Agence immobilière propose à louer appartement haut standing s + 4 à bardo centre près Monoprix au 5ème étage immeuble avec ascenseur gardée jour et nuit pour usage habitation ou bureautique ou cabinet médical se compose de séjour + salon + 3 chambres à coucher une avec placard + SDB + sde + Cuisine équipée + balcon + 3 climatiseur + chauffage central superficie 120 m² Prix habitation : 1000 DT Prix bureautique : 2000 DT Pour plus d'informations ou visite contacter 51544228 55531858,https://www.tayara.tn/listings/appartements-2/ca1c459f-3335-4d91-a9f4-57de7c63d080/appart-htsg-s4-bardo-centre-près-monoprix-habitation-bureautique-cabinet-médical
2018-09-03T14:46:25,Tayara TN,d099fc6b-bdfa-4caf-9386-4debb91bacb6,À Louer,Appartements,Joli Étage De Villa Sans Meuble À Khezama,"Sousse, Sousse Jawhara",Appartements,m²,4.0,,850.0,"l'agence immobiliere la perle du sahel vous propose à louer un 2 éme étage de villa sans meuble avec gaz de ville + chauffage centrale + 4 climatiseurs et qui se compose de trois chambres + trés grande salon + salle à manger + salle de bain + salle d'eau + cuisine équipé + quatre grand terrasse + abri pour deux voiture , situé dans un endroit trés chic et à proximité de toute commodité , prix 850 d/mois . pour plus d’information veuillez me contacté par tel et merci 51220999",https://www.tayara.tn/listings/appartements-2/d099fc6b-bdfa-4caf-9386-4debb91bacb6/joli-étage-de-villa-sans-meuble-à-khezama
2018-09-03T14:46:22,Tayara TN,cbdc953f-4aa6-4481-b176-947cdeec02ea,À Louer,Appartements,Studio Meublé,"Sousse, Sousse Jawhara",Appartements,m²,1.0,,450.0,s0 climatisé chaud froid a l'année pour des personnes respectueuses dans un cartier calme prés de restaurant la cantine prix 450dt compris le frais de l'eau et de Electricité pour plus des informations contacter 28109050,https://www.tayara.tn/listings/appartements-2/cbdc953f-4aa6-4481-b176-947cdeec02ea/studio-meublé
2018-09-03T14:46:21,Tayara TN,cdce0f23-b06b-4a87-94ec-9e02e3beb1af,À Louer,Appartements,Appartement À Louer,"Médenine, Djerba-Houmt Souk",Appartements,m²,2.0,,350.0,S+2,https://www.tayara.tn/listings/appartements-2/cdce0f23-b06b-4a87-94ec-9e02e3beb1af/appartement-à-louer
2018-09-03T14:46:21,Tayara TN,c9ebc5b9-31e1-40bd-9cfa-f551b4bcb3a4,À Louer,Appartements,S+2 À Louer Réf Bl194,"Nabeul, Mrezga",Appartements,m²,2.0,,850.0,"Réf BL194 Notre Agence met a votre disposition un Appartement S+2 meublé Pour une location de 10 mois a partir de septembre situé dans une Résidence calme à AFH Mrezga. Il est composé dans sa partie jour, d'un grand salon, une Cuisine et un salle d'eau. La partie nuit se compose d'une chambre à coucher avec placard et une suite parental. Prix 850DT Pour plus d'informations veuillez contacter notre Agence Contact : 21174968 - 72287177",https://www.tayara.tn/listings/appartements-2/c9ebc5b9-31e1-40bd-9cfa-f551b4bcb3a4/s+2-à-louer-réf-bl194
