Extraction_date,Marketplace,Reference,Status,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
2018-09-03T15:08:29,Tayara TN,f83f0bc3-da3e-4a32-9054-f3cd32f90e9b,À Vendre,Appartements,Appartement El Kantaoui145 Dt/Jour (Réf. 2330471),"Sousse, Kantaoui",Appartements,m²,2.0,,145.0,"Location Appartement S+2 Kantaoui Joli Appartement meublé de 70m2, S+2 situé à Kantaoui prodhe de la plage composé de : 2 chambres a coucher 1 salle de bain / douche 1 cuisine équipée ouverte sur la pièce de vie climatiseur Emplacement L'appartement est basé dans un quartier calme, à proximité de la mer et également proche de toutes commodités.",https://www.tayara.tn/listings/appartements-2/f83f0bc3-da3e-4a32-9054-f3cd32f90e9b/-appartement-el-kantaoui145-dt-jour-(réf-2330471)
2018-09-03T15:08:25,Tayara TN,fdc232f3-e073-463b-8d04-e4c15770e143,À Vendre,Appartements,Apprt À Vendre,"La manouba, La manouba",Appartements,m²,4.0,,155.0,"Votre agence immobilière dream house manouba vous propose la vente d'un appartement à denden prés de tt commodités ( station métro, magasin, ...), 115 m², 2 éme étage. Composé de : Salon + 3 chambres à coucher + cuisine avec séchoir + SDB + salle d'eau + gaz de ville Prix de vente : 155 MD légèrement négociable n'hésitez pas à nous contacter: frais de visite: 20dt et 2% commission du vente Tel :52344101 / 93021179 / 70605867 adresse :avenue de l'UMA,manouba centre.",https://www.tayara.tn/listings/appartements-2/fdc232f3-e073-463b-8d04-e4c15770e143/apprt-à-vendre-
2018-09-03T15:08:23,Tayara TN,f838a4d9-9066-471b-ba52-136a918e2058,À Vendre,Appartements,A Vendre Un Beau Appartement Au Plein Centre Ville Hammamet,"Nabeul, Hammamet",Appartements,m²,1.0,,120000.0,"Agence ghalleb vous propose d'un appartement au centre ville hammamet exactement a lehwanet elle se compose de : deux chambre, une cuisine et un sallon . RDC: s+2; superficie: 83m² prix: 120md. contacter le 29006534",https://www.tayara.tn/listings/appartements-2/f838a4d9-9066-471b-ba52-136a918e2058/a-vendre-un-beau-appartement-au-plein-centre-ville-hammamet
2018-09-03T15:08:18,Tayara TN,fdbaf8e9-2c39-4426-beae-28c37f5380b0,À Vendre,Appartements,A Vendre Un Bel Appartement S+2 À Mrezga Hammamet,"Nabeul, Mrezga",Appartements,m²,2.0,,250000.0,"Si vous êtes en train de chercher le confort, le calme et le prestige, Immobilère Mrad vous propose une offre exceptionnelle à ne pas rater : Un bel appartement située au zone très calme favorise tous les moyens de confort Immobilière Mrad met en vente un bel appartement à Mrezga Hammamet . Il se compose de deux chambres à coucher , d’une salon avec un balcon , une cuisine bien équipée et aménagée avec séchoir , et d’une salle de bain . Superficie ; 111m² Prix demandée : 250MD Pour plus d’information contacter le numéro 58629329",https://www.tayara.tn/listings/appartements-2/fdbaf8e9-2c39-4426-beae-28c37f5380b0/a-vendre-un-bel-appartement-s+2-à-mrezga-hammamet-
2018-09-03T15:08:18,Tayara TN,f9452afc-9a58-44c0-9f76-ce8c4e7b6766,À Vendre,Appartements,Beau Duplex À 235 Mille!!!,"Ariana, Ghazela",Appartements,m²,3.0,,235000.0,"#Casa #Imed# vous propose un Duplex Magnifique à Cité Sahafa . Zone très demandée et Résidentielle. RC : un grand salon + un séjour + chambre +salle d’eau et cuisine bien équipeé 1ére étage : style américain se compose de 3 chambre à coucher, une salle de bain. Duplexe avec place parking Superficie : 180 m² Prix : 235000 mille Référence : CA002 Pour plus d’informations n’hésitez pas à contactez votre conseillère immobilier Sana 29329037 Nous somme à votre service 7/7 Dimanche et samedi ouverte .",https://www.tayara.tn/listings/appartements-2/f9452afc-9a58-44c0-9f76-ce8c4e7b6766/beau-duplex-à-235-mille-
2018-09-03T15:08:11,Tayara TN,fd9cb007-c355-4740-8f8b-b90c473c1a5c,À Vendre,Appartements,Un Bel Appartement Pas Loin De Hotel Bel Azur 1 Ere Main O,"Nabeul, Hammamet Nord",Appartements,m²,1.0,,130000.0,"a vendre bel appartement se compose d'un salon, une chambre à coucher , salle de bain, cuisine prix 130md",https://www.tayara.tn/listings/appartements-2/fd9cb007-c355-4740-8f8b-b90c473c1a5c/un-bel-appartement-pas-loin-de-hotel-bel-azur-1-ere-main-o-
2018-09-03T15:08:09,Tayara TN,f93b7ebc-ba09-43b2-94cf-31faed0c6ed1,À Vendre,Appartements,A V Un Appartement Dans Une Résidence Gardée 155 Md Oo,"Nabeul, Hammamet",Appartements,m²,2.0,,155000.0,"a vendre un appartement spacieux dans une zone résidentielle sécurisé et calme à Manaret Hammamet très proche de Yasmine Hammamet. Elle se compose d'un salon, deux chambres à coucher avec deux terrasse, la cuisine est totalement équipée, salle d'eau et salle de bain. Chauffage centrale et climatisation split sont disponible. Superficie : 141m² Prix : 155md pour plus d’information merci de nous contacter :29115312",https://www.tayara.tn/listings/appartements-2/f93b7ebc-ba09-43b2-94cf-31faed0c6ed1/a-v-un-appartement-dans-une-résidence-gardée-155-md-oo
2018-09-03T15:08:01,Tayara TN,f7f94ab8-9b85-4591-ab85-45522563c217,À Vendre,Appartements,A Vendre Appartement S+2 (96 M2),"Sfax, Sfax Ville",Appartements,m²,3.0,,75000.0,Appartement de 96 m2 situé au 4ème étage de l'immeuble AFRICA (ouvrant sur la Rue Med Jamoussi et Rue du Commandant Raied Bjaoui) près de la station SORETRAS et la station des louages Composé de : - un grand salon - 2 chambres - 1 salle de bain - 1 toilette individuelle - 1 cuisine avec un séchoir l'appartement est au 4 ème étage sans ascenceur,https://www.tayara.tn/listings/appartements-2/f7f94ab8-9b85-4591-ab85-45522563c217/a-vendre-appartement-s+2-(96-m2)
2018-09-03T15:07:55,Tayara TN,fabadb39-521a-42c4-8008-65fa0bcd30f0,À Vendre,Appartements,Appartement S+2 À Ezzahra,"Ben arous, Ezzahra",Appartements,m²,2.0,,92000.0,"Cet appartement au quatrième étage se situe dans un quartier calme et prés de toutes commodités à lycée Ezzahra . Il se compose d'un grand salon avec balcon, une cuisine aménagé et la partie nuit loge les deux chambres à coucher qui partagent une salle de bain. 29757584",https://www.tayara.tn/listings/appartements-2/fabadb39-521a-42c4-8008-65fa0bcd30f0/appartement-s+2-à-ezzahra
2018-09-03T15:07:54,Tayara TN,fbbb8cc7-7fc4-4e2c-8845-47e502cea8ad,À Vendre,Appartements,A Vendre Un Bel Loft À Hammamet Centre,"Nabeul, Hammamet Centre",Appartements,m²,1.0,,150000.0,"Immobilière Mrad met en vente un bel Loft à Hammamet Centre. Il se compose d’un coin salon , un coin jacuzzi , une cuisine bien équipée et aménagée et un petit coin jardin. Cet loft se compose d’un sol et sous sol. Superficie : 90m² Prix demandée : 150000 MD Pour plus d’information contacter le num 58629329",https://www.tayara.tn/listings/appartements-2/fbbb8cc7-7fc4-4e2c-8845-47e502cea8ad/a-vendre-un-bel-loft-à-hammamet-centre-
2018-09-03T15:07:48,Tayara TN,fab318f3-fac3-48a8-9558-43c484d265b4,À Vendre,Appartements,Appartement Très Spacieux À La Soukra!!!,"Ariana, La Soukra",Appartements,m²,3.0,,330000.0,"#Casa Imed# vous propose une offre à ne pas rater, un appartement S+3 de luxe EN 1 ER étage. Avec une entrée indépendante !! Emplacement très demandée près de toutes commodités nécessaires en plein la soukra et sur rue principale !! Dans une résidence demandée et sécurisée !!! Cet Appartement est bien spacieux et lumineux !!!! Se compose d’un grand salon, cuisine très bien équipée, 3 chambres à coucher + salle de bain Tout est bien fini avec une bonne finition. Préparé par des chauffages centraux et des climatiseurs Superficie: 200 m² Prix: 330mille (négociable) Référence : AAS003 N'hésitez pas de contacter votre conseillère en immobilier Sana Visite du Bien par RDV L'agence est ouverte Samedi et Dimanche",https://www.tayara.tn/listings/appartements-2/fab318f3-fac3-48a8-9558-43c484d265b4/appartement-très-spacieux-à-la-soukra-
2018-09-03T15:07:35,Tayara TN,f90c9cc0-0854-4cf3-bede-f0830dfed53c,À Vendre,Appartements,Appartement,"Nabeul, Hammamet",Appartements,m²,2.0,,690000.0,?A Vendre ? ? Un appartement RDC avec piscine de 137.61 m2 couvert et 169.40 m2 Jardin . Prix de vente : 690 000 dt TTC Pour plus d'informations veuillez nous contacter sur : ? 72267108 ? 93389077 ? 93345681,https://www.tayara.tn/listings/appartements-2/f90c9cc0-0854-4cf3-bede-f0830dfed53c/appartement
2018-09-03T15:07:28,Tayara TN,f9052a67-91e7-4a6f-8703-960425446f44,À Vendre,Appartements,Appartement S+3 À 148 Mille Seulement!!,"Ariana, Borj Louzir",Appartements,m²,3.0,,148000.0,#Casa Imed# vous propose un beau appartement en 1 er étage situé à cité Behi Ladghem –ariana Il se compose de : S+3 +salle de bain +cuisine Superficie :97 m² Prix : 148 mille (négociable) REF : AA009 N'hésitez pas de contacter votre conseillère en immobilier Sana 29329037 Visite du Bien par RDV,https://www.tayara.tn/listings/appartements-2/f9052a67-91e7-4a6f-8703-960425446f44/appartement-s+3-à-148-mille-seulement-
2018-09-03T15:07:14,Tayara TN,fa7f29ee-5b34-44ba-8614-0fae101722b3,À Vendre,Appartements,Studio Bel Hammamet 37Md N,"Nabeul, Hammamet",Appartements,m²,1.0,,37000.0,A v un studio à hammamet dans un cartier calme et avec bon voisinage Se compose d’une chambre et une cuisine et un salle d’eau ; prix : 37 md Superficie : 30m² Pour plus d’information merci de nous contacter 94 998 227,https://www.tayara.tn/listings/appartements-2/fa7f29ee-5b34-44ba-8614-0fae101722b3/studio-bel-hammamet-37md-n
2018-09-03T15:07:07,Tayara TN,fa6c64ef-6039-443f-92ed-78d0510ed7d3?????-???-??????-????-??????????-3-5-,À Vendre,Appartements,"????? ??? ?????? ???? ?????????? 3,5","Sfax, Sfax",Appartements,m²,2.0,,70000.0,"????? ??? ?????? ?????????? 3,5 ???? 2????,??????,??? ?? 70????????? 50155123,58840210",https://www.tayara.tn/listings/appartements-2/fa6c64ef-6039-443f-92ed-78d0510ed7d3/?????-???-??????-????-??????????-3-5-
2018-09-03T15:06:58,Tayara TN,f6c3ba90-6382-483e-be42-0b0b090216dc,À Vendre,Appartements,Residence Mirna V447 Mme Sirine (52080909),"Nabeul, Hammamet",Appartements,m²,2.0,,250000.0,"RESIDENCE MIRNA V447 A vendre chez l'agence TPS IMMOBILIERE Hammamet, des appartements de type S+1, S+2, S+3 et S+4 dans une résidence de rêve au milieu de zone touristique à Hammamet Sud ou se dessine l'avenir d'un tout nouveau quartier résidentiel à vocation environnementale. La vocation de proposer aux futurs habitants un cadre de vie sain s'affiche dans le choix de ce lieu ou les nombreux espaces verts: patio verdoyants et jardin au RDC constituent la trame d'un nouvel art de vivre entre nature et bâti responsable. Les appartements sont repartis comme suit: - un seul S+0 de superficie 38.35 m² à 77 000 DT. - 7 appartement de type S+1 de superficie entre 65 m² jusqu'à 86.05 m², prix entre 118 000 DT à 162 000 DT - 23 appartements de type S+2 de superficie entre 86.11 m² à 173.08 m², le prix entre 155 000 DT à 347 000 DT. - 8 appartement de Type S+3 de superficie entre 188.28 m² à 217.36 m², le prix entre 351 000 DT à 435 000 DT. - un seul S+4 de superficie 248.01 m², le prix: 496 000 DT. NB: le prix de m² varie selon l'orientation de l'appartement entre 2000 DT/m² et 1800 DT/m². Le prix de la place de parking intérieure: 12 000 DT. Le prix de la place de parking extérieure : 4000 DT. Prix de cellier : 2500 DT/unité. Prix du jardin: 600 DT/m². Prix des commerces: 3200 DT/m² Nos agents sont à votre disposition pour toutes informations et conseils nécessaires afin de disposer du bien. Veuillez contacter Mme SIRINE (52080909)",https://www.tayara.tn/listings/appartements-2/f6c3ba90-6382-483e-be42-0b0b090216dc/residence-mirna-v447-mme-sirine-(52080909)
2018-09-03T15:06:53,Tayara TN,f771545a-0b7e-418b-b3d8-532bf5d61bb7,À Vendre,Appartements,Appartement (S+2) Au Rez De Chaussée À Bouhsina Directe Promoteur,"Sousse, Sousse Jawhara",Appartements,m²,2.0,,190000.0,"Découvrez cet appartement (s+2) de 116 m² qui occupe le rez de chaussée d'une petite résidence gardé et sécurisée érigée sur deux niveaux,récemment construite ;il est située dans un quartier calme à bouhsina A l'entrée on découvre un salon lumineux grâce à sa baie vitrée qui donne accès à un balcon. ce salon est équipée par un dressing qui donne plus de fonctionnalité à l'appartement . La cuisine est agencée par des éléments de rangements et équipée d'une plaque, une hotte aspirante, et un four .Elle est complétée par un séchoir. Un couloir nous mène à la compartiment nuit qui loge deux chambres à coucher , ces deux chambres bénéficie chacune par son propre balcon . Elles se partagent une salle de bain avec baignoire . cet appartement profite d'un bon emplacement stratégique grâce à sa proximité de toute commodité . NB: cet appartement avec une attestation de propriété individuel. Standing et équipements : - architecture moderne - porte intérieur et extérieur en bois noble - revêtement en grès dans la masse - menuiserie aluminium double vitrage . - volets roulants électriques - chauffage central ,climatisation individuelle - chasse d'eau encastrable et cuvette suspendue -Faïence de gamme luxueuse -Sanitaire haute gamme -vidéo phone -isolation phonique et thermique entre appartements (laine de roche) -Staff lisse décoré La place de parking au Sous Sol à 15.000 DT Envie de savoir plus ? De visiter ? N’hésitez pas à nous contacter Soyez le bienvenue à notre agence Immobilière NEW WAY agence immobiliére (agréée) Nouvelle génération Rue Hassen Ben Said 4051 khezema ouest sousse. Votre Conseiller : ALI ZAÂTIR: 28 614 614 /73 275 544 NEW WAY agence immobiliére (agréée) Nouvelle génération Nos services : * Évaluation gratuite * Visite gratuite * Connaissance détaillé du marché * Conseils juridique et financier * Accompagnement jusqu’a la signature du contrat CONSEIL & TRANSACTION",https://www.tayara.tn/listings/appartements-2/f771545a-0b7e-418b-b3d8-532bf5d61bb7/appartement-(s+2)-au-rez-de-chaussée-à-bouhsina-directe-promoteur
2018-09-03T15:06:51,Tayara TN,f8bec8a3-270f-4038-94a8-33e0f5c964e6,À Vendre,Appartements,Résidence Elyess La Soukra!!,"Tunis, L'aouina",Appartements,m²,2.0,,0.0,"#Casa Imed# vous propose un beau appartement S+2 à Résidence Elyess La Soukra!! L'appartement est en très bon état, entièrement rénové situé en 1 ére étage !! Se compose d'un grand salon avec balcon, une cuisine très bien équipée avec séchoir, deux chambres à coucher et une salle de bain!! L'appartement est équipé de chauffage centrale et climatisation!! Superficie: 104 m² 51006957",https://www.tayara.tn/listings/appartements-2/f8bec8a3-270f-4038-94a8-33e0f5c964e6/résidence-elyess-la-soukra-
