Country,Price,Size,Status,Marketplace,Reference,Moy_prix_by_size,Address
Banlieue Nord,650.0,60.0,L,Tayara TN,794fbecc-8119-465e-b447-5cadfe530355,10.833333333333334,"Tunis, La Marsa"
Nabeul,1000.0,120.0,L,Tunisie-annonce TN,2527643,8.333333333333334,"Tunisie,Nabeul,Korba,Korba"
Nabeul,380000.0,107.0,V,Jumia TN,L-TN-00155937,3551.4018691588785,"Yasmine Hammamet, Hammamet, Nabeul"
Nabeul,380.0,120.0,L,Tunisie-annonce TN,2738334,3.1666666666666665,"Tunisie,Nabeul,Korba,Korba Hached"
Monastir,300.0,100.0,L,Tayara TN,0c799d72-a536-431f-a968-678a9671390b,3.0,"Monastir, Monastir"
Ariana,89040.0,53.0,V,Jumia TN,L-TN-00153508,1680.0,"Borj Louzir, Borj Louzir, La Soukra, Ariana"
Ariana,250000.0,136.0,V,Jumia TN,L-TN-00156115,1838.235294117647,"Ariana, Ariana, Ariana"
Nabeul,420.0,140.0,L,Tunisie-annonce TN,2804380,3.0,"Tunisie,Nabeul,Korba,Korba"
Ariana,239750.0,138.0,V,Jumia TN,L-TN-00153763,1737.3188405797102,"Borj Louzir, La Soukra, Ariana"
Sousse,175000.0,67.0,V,Jumia TN,L-TN-00163225,2611.9402985074626,"Chott Meriam, Hammam Sousse, Sousse"
Ariana,160000.0,50.0,V,Jumia TN,L-TN-00153424,3200.0,"Raoued, Raoued, Ariana"
Tunis,450.0,100.0,L,Tunisie-annonce TN,2861884,4.5,"Tunisie,Tunis,El Omrane Superieur,El Omrane Superieur"
Sousse,165000.0,110.0,V,Jumia TN,L-TN-00156905,1500.0,"Hergla, Hergla, Sousse"
Ariana,850.0,60.0,L,Tunisie-annonce TN,2831669,14.166666666666666,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Tunis,380.0,90.0,L,Tunisie-annonce TN,2861883,4.222222222222222,"Tunisie,Tunis,El Ouerdia,El Ouerdia"
Nabeul,750000.0,200.0,V,Jumia TN,L-TN-00092109,3750.0,"Hammamet Nord, Hammamet, Nabeul"
Bizerte,250.0,70.0,L,Tayara TN,545aefc0-90fd-4043-ab77-9c048df7aedb,3.5714285714285716,"Bizerte, Autres villes"
Les Berges du Lac,1600000.0,260.0,V,Jumia TN,L-TN-00100399,6153.846153846154,"Les Berges Du Lac 1, Les Berges Du Lac, Tunis et Banlieue Nord"
Banlieue Nord,689000.0,2.0,V,Jumia TN,L-TN-00130386,344500.0,"La Marsa, La Marsa, Tunis et Banlieue Nord"
Banlieue Nord,250000.0,140.0,V,Jumia TN,L-TN-00136480,1785.7142857142858,"Hammamet, Tunis et Banlieue Nord"
Les Berges du Lac,850000.0,2.0,V,Jumia TN,L-TN-00067070,425000.0,"Les Berges du Lac, Les Berges du Lac0, Les Berges Du Lac, Tunis et Banlieue Nord"
Tunis,700.0,80.0,L,Tunisie-annonce TN,2846940,8.75,"Tunisie,Tunis,Bab Bhar,Montplaisir"
Banlieue Nord,365000.0,140.0,V,Jumia TN,L-TN-00149849,2607.1428571428573,"La Marsa, La Marsa, Tunis et Banlieue Nord"
Ariana,225.0,100.0,L,Tayara TN,8bd1bdc5-9242-4dbf-8246-8bde59f7417c,2.25,"Ariana, Autres villes"
Banlieue Nord,450000.0,283.0,V,Jumia TN,L-TN-00126483,1590.1060070671379,"Aouina, Aouina, Tunis et Banlieue Nord"
Banlieue Nord,800.0,90.0,L,Tunisie-annonce TN,2860355,8.88888888888889,"Tunisie,Tunis,El Kram,Le Kram Est"
Les Berges du Lac,360000.0,2.0,V,Jumia TN,L-TN-00106994,180000.0,"Les Berges du Lac, Les Berges du Lac0, Les Berges Du Lac, Tunis et Banlieue Nord"
Banlieue Nord,2600.0,150.0,L,Tunisie-annonce TN,2811635,17.333333333333332,"Tunisie,Tunis,Carthage,Sidi Bousaid"
Banlieue Nord,2600.0,150.0,L,Tunisie-annonce TN,2747628,17.333333333333332,"Tunisie,Tunis,Carthage,Sidi Bousaid"
Ariana,700.0,70.0,L,Tunisie-annonce TN,2861908,10.0,"Tunisie,Tunis,El Menzah,Cite Caravelles"
Banlieue Nord,400000.0,152.0,V,Jumia TN,L-TN-00152665,2631.5789473684213,"Lotissement les Résidences Du Parc, Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord, Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Ariana,1500.0,140.0,L,Tunisie-annonce TN,2861907,10.714285714285714,"Tunisie,Ariana,Ariana Ville,El Menzah 5"
Banlieue Nord,600000.0,281.0,V,Jumia TN,L-TN-00105065,2135.2313167259786,"Aouina, Tunis et Banlieue Nord"
Tunis,183.0,100.0,L,Tayara TN,5d49823e-ed30-4cec-bdfc-8f85d9244f88,1.83,"Tunis, Autres villes"
Ariana,900.0,220.0,L,Tunisie-annonce TN,2861904,4.090909090909091,"Tunisie,Ariana,La Soukra,Borj Louzir"
Banlieue Nord,485000.0,177.0,V,Jumia TN,L-TN-00168744,2740.1129943502824,"jardins de Carthage, Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Tunis,300.0,90.0,L,Tunisie-annonce TN,2861903,3.3333333333333335,"Tunisie,Le Kef,Le Kef Est,Le Kef"
Ben arous,500.0,100.0,L,Tunisie-annonce TN,2861901,5.0,"Tunisie,Ben arous,Hammam Lif,Cite Boussouffara"
Sousse,250000.0,123.0,V,Jumia TN,L-TN-00145974,2032.520325203252,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Sousse Medina, Sousse, Sousse"
Ariana,600.0,45.0,L,Tunisie-annonce TN,2861899,13.333333333333334,"Tunisie,Ariana,Mnihla,Jardins d'el Menzah"
Ariana,550.0,100.0,L,Tunisie-annonce TN,2861679,5.5,"Tunisie,Ariana,Raoued,Cite Ennkhilet"
Ariana,600.0,180.0,L,Tayara TN,52523b8b-013c-4926-809b-90a114bc6b32,3.3333333333333335,"Tunis, Menzah"
Banlieue Nord,298000.0,113.0,V,Jumia TN,L-TN-00149408,2637.16814159292,"El Manar 1, El Manar 1, Tunis et Banlieue Nord"
Nabeul,1250.0,120.0,L,Tunisie-annonce TN,2784801,10.416666666666666,"Tunisie,Nabeul,Hammamet,Hammamet"
Sousse,130000.0,99.0,V,Jumia TN,L-TN-00154228,1313.1313131313132,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Sousse Riadh, Sousse, Sousse"
Sousse,440000.0,130.0,V,Jumia TN,L-TN-00143589,3384.6153846153848,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Sousse Corniche, Sousse, Sousse"
Banlieue Nord,10000.0,1500.0,L,Tunisie-annonce TN,2858879,6.666666666666667,"Tunisie,Tunis,La Marsa,Gammart"
Banlieue Nord,1700.0,80.0,L,Tunisie-annonce TN,2781864,21.25,"Tunisie,Tunis,La Marsa,Gammart"
Banlieue Nord,280000.0,2.0,V,Jumia TN,L-TN-00110941,140000.0,"Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Nabeul,50000.0,50.0,V,Jumia TN,L-TN-00164634,1000.0,"AGENCE GHALLEB HAMMAMET, Hammamet Nord, Hammamet, Nabeul"
Ariana,1000.0,60.0,L,Tunisie-annonce TN,2850682,16.666666666666668,"Tunisie,Ariana,La Soukra,La Soukra"
Ariana,2500.0,330.0,L,Tunisie-annonce TN,2861933,7.575757575757576,"Tunisie,Tunis,El Menzah,El Menzah 9"
Sousse,170000.0,106.0,V,Jumia TN,L-TN-00161586,1603.7735849056603,"Rue Hassen Ben Said 4051 khezema ouest sousse., Sousse Medina, Sousse, Sousse"
Banlieue Nord,800.0,100.0,L,Tunisie-annonce TN,2861932,8.0,"Tunisie,Tunis,La Marsa,El Aouina"
Sousse,259000.0,130.0,V,Jumia TN,L-TN-00141052,1992.3076923076924,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Khezama, Khezama, Sousse"
Banlieue Nord,500.0,102.0,L,Tunisie-annonce TN,2861931,4.901960784313726,"Tunisie,Tunis,La Goulette,Casino La Goulette"
Ben arous,420.0,80.0,L,Tunisie-annonce TN,2855501,5.25,"Tunisie,Ben arous,Hammam Chatt,Borj Cedria"
Banlieue Nord,1500000.0,220.0,V,Jumia TN,L-TN-00164810,6818.181818181818,"Tunis Ville, Tunis et Banlieue Nord"
Tunis,175.0,90.0,V,Tayara TN,71c8b03f-3fb2-4df8-b255-9e2c989bc522,1.9444444444444444,"Tunis, Centre Ville - Lafayette"
Ben arous,550.0,100.0,L,Tunisie-annonce TN,2855254,5.5,"Tunisie,Ben arous,Bou Mhel El Bassatine,Cite Essalem"
Ben arous,550.0,150.0,L,Tunisie-annonce TN,2859690,3.6666666666666665,"Tunisie,Ben arous,Hammam Chatt,Borj Cedria"
Les Berges du Lac,350000.0,109.0,V,Jumia TN,L-TN-00145742,3211.0091743119265,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Nabeul,630000.0,110.0,V,Jumia TN,L-TN-00158552,5727.272727272727,"Sidi El Mahrsi , Nabeul, Nabeul"
Ben arous,650.0,80.0,L,Tunisie-annonce TN,2616265,8.125,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel"
Banlieue Nord,130000.0,107.0,V,Jumia TN,L-TN-00170609,1214.9532710280373,"Les Jardins D'el Menzah, El Manar 1, El Manar 1, Tunis et Banlieue Nord"
Sousse,180000.0,144.0,V,Jumia TN,L-TN-00153081,1250.0,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Hergla, Hergla, Sousse"
Ariana,1150.0,120.0,L,Tunisie-annonce TN,2861926,9.583333333333334,"Tunisie,Ariana,La Soukra,Cite Elyes"
Nabeul,250000.0,67.0,V,Jumia TN,L-TN-00092107,3731.3432835820895,"Hammamet Nord, Hammamet, Nabeul"
Ariana,210000.0,105.0,V,Jumia TN,L-TN-00153458,2000.0,"La Soukra, La Soukra, Ariana"
Sousse,350.0,30.0,L,Tunisie-annonce TN,2861925,11.666666666666666,"Tunisie,Sousse,Sousse Ville,Cite Hached"
Banlieue Nord,151800.0,69.0,V,Jumia TN,L-TN-00154578,2200.0,"ENNASR 2, ENNASR 2, Tunis et Banlieue Nord"
Ben arous,85000.0,80.0,V,Jumia TN,L-TN-00131745,1062.5,"El Mourouj, Ben Arous - Tunis Sud"
Banlieue Nord,2300.0,220.0,L,Tunisie-annonce TN,2843885,10.454545454545455,"Tunisie,Tunis,La Marsa,Cite Du Stade"
Sfax,420.0,106.0,L,Tunisie-annonce TN,2843106,3.9622641509433962,"Tunisie,Sfax,Sfax Ville,Sfax"
Sousse,206000.0,139.0,V,Jumia TN,L-TN-00156855,1482.0143884892086,"Hergla, Hergla, Sousse"
Monastir,240.0,35.0,L,Tunisie-annonce TN,2771514,6.857142857142857,"Tunisie,Monastir,Monastir,Monastir"
