Country,Price,Size,Marketplace,Reference,Moy_prix_by_size,Address,detail
Les Berges du Lac,350000.0,140.0,Jumia TN,L-TN-00131866,2500.0,"Les Berges Du Lac 1, Les Berges Du Lac, Tunis et Banlieue Nord",Lac1
Les Berges du Lac,1500000.0,280.0,Jumia TN,L-TN-00132571,5357.142857142857,"lac 1, Les Berges Du Lac 1, Les Berges Du Lac, Tunis et Banlieue Nord",Lac1
Les Berges du Lac,280000.0,65.0,Jumia TN,L-TN-00149624,4307.692307692308,"Les Berges Du Lac 1, Les Berges Du Lac 1, Les Berges Du Lac, Tunis et Banlieue Nord",Lac1
