Country,detail,Price,Size,Moy_prix_by_size
Ariana,Ennasr,310000.0,145.0,2137.9310344827586
Ariana,Ennasr,286000.0,112.0,2553.5714285714284
Ariana,Ennasr,359520.0,171.0,2102.4561403508774
Ariana,Ennasr,293000.0,118.0,2483.050847457627
Ariana,Ennasr,260000.0,130.0,2000.0
Ariana,Ennasr,317000.0,121.0,2619.8347107438017
Ariana,Ennasr,328960.0,132.0,2492.121212121212
Ariana,Ennasr,315000.0,175.0,1800.0
Ariana,Ennasr,433000.0,166.0,2608.433734939759
Ariana,Ennasr,484000.0,177.0,2734.463276836158
Ariana,Ennasr,115000.0,41.0,2804.8780487804884
Ariana,Ennasr,800000.0,240.0,3333.333333333333
Ariana,Ennasr,215000.0,134.0,1604.4776119402984
Ariana,Ennasr,468000.0,169.0,2769.230769230769
Ariana,Ennasr,308000.0,145.0,2124.1379310344832
Ariana,Ennasr,551000.0,155.0,3554.8387096774195
Ariana,Ennasr,225000.0,100.0,2250.0
Ariana,Ennasr,195000.0,105.0,1857.142857142857
Ariana,Ennasr,380000.0,192.0,1979.166666666667
Ariana,Ennasr,165000.0,70.0,2357.142857142857
Ariana,Ennasr,303000.0,116.0,2612.068965517241
Ariana,Ennasr,188000.0,74.0,2540.5405405405404
Ariana,Ennasr,110000.0,39.0,2820.5128205128203
Ariana,Ennasr,175000.0,68.0,2573.5294117647063
Ariana,Ennasr,270000.0,200.0,1350.0
Ariana,Ennasr,331000.0,124.0,2669.3548387096776
Ariana,Ennasr,498000.0,172.0,2895.3488372093025
